date,theme_name,grade,avg_rsi,total_trade_value,avg_disparity_20,total_sm_flow,avg_macd_hist,vol_ma20,volume_spike,prev_macd_hist,macd_improving,next_grade,target
2024-01-10,2차전지,6등급,49.41772727272727,1239172148986.0,101.0225436517983,0.0,-292.4890909090909,1236020191084.5,1.0025500860942527,-155.67727272727274,0,6등급,0
2024-01-11,2차전지,6등급,49.88136363636364,1307737554648.0,101.34173830735848,0.0,-314.3940909090909,1236470470784.7144,1.0576375138324627,-292.4890909090909,0,6등급,0
2024-01-12,2차전지,6등급,46.87772727272727,843341383569.0,98.93496210861011,0.0,-424.41,1245378856267.625,0.677176571068885,-314.3940909090909,0,6등급,0
2024-01-19,2차전지,6등급,43.5,2021176751502.0,96.63578142450514,0.0,-801.949090909091,1229594984335.0,1.6437743950257815,-677.0622727272727,0,6등급,0
2024-01-22,2차전지,6등급,39.98909090909091,1808482073516.0,94.75718369722567,0.0,-1137.3281818181817,1286136539132.6428,1.406135366261829,-801.949090909091,0,6등급,0
2024-01-23,2차전지,6등급,41.04818181818182,1588789441723.0,95.97470138244266,0.0,-1244.5472727272727,1320959574758.2,1.2027540222143633,-1137.3281818181817,0,6등급,0
2024-01-24,2차전지,6등급,41.377272727272725,1159524690050.0,95.9007561221059,0.0,-1248.9040909090909,1337698941443.5,0.8668054179655449,-1244.5472727272727,0,6등급,0
2024-02-13,2차전지,6등급,54.63545454545454,2341242328145.0,109.15129443938756,0.0,1317.0336363636363,1519455461742.2,1.5408430106010105,936.415909090909,1,6등급,0
2024-02-22,2차전지,6등급,57.026363636363634,1070667745100.0,110.30629028543551,0.0,1965.7022727272727,1698605363023.2,0.6303216558756247,2139.579090909091,0,6등급,0
2024-02-23,2차전지,6등급,54.69,1285247312382.0,107.89060097557797,0.0,1609.3168181818182,1672699278192.05,0.7683672308217706,1965.7022727272727,0,6등급,0
2024-02-26,2차전지,6등급,53.652727272727276,987724690195.0,106.90339977879874,0.0,1393.9218181818183,1678985409308.65,0.5882866430636298,1609.3168181818182,0,6등급,0
2024-02-27,2차전지,6등급,51.945454545454545,1041908683555.0,105.3088967402191,0.0,1090.3363636363636,1670776864524.8,0.6236073204493038,1393.9218181818183,0,6등급,0
2024-02-28,2차전지,6등급,50.914545454545454,2219612646543.0,103.88215936685513,0.0,712.9977272727273,1637425329298.7,1.3555504527914244,1090.3363636363636,0,6등급,0
2024-02-29,2차전지,6등급,51.127272727272725,1491801094601.0,103.4953326309206,0.0,430.87636363636364,1646279212299.6,0.9061652989696579,712.9977272727273,0,6등급,0
2024-03-04,2차전지,6등급,51.88636363636363,1339632921755.0,103.04176341559678,0.0,153.50318181818182,1649647325891.3,0.8120723143240328,430.87636363636364,0,6등급,0
2024-03-05,2차전지,6등급,48.447272727272725,1389622567380.0,99.68904354365785,0.0,-267.0031818181818,1667555325077.85,0.8333292134191261,153.50318181818182,0,6등급,0
2024-03-08,2차전지,6등급,50.55772727272727,1806239513329.0,98.0616444358051,0.0,-710.8086363636363,1686726733080.9,1.0708548562752684,-632.7490909090909,0,6등급,0
2024-03-14,2차전지,6등급,51.22,1249220920466.0,97.83551178132467,0.0,-189.24636363636364,1537968721077.9,0.8122537886144211,-198.14727272727274,1,6등급,0
2024-03-15,2차전지,6등급,49.315,1029459561541.0,96.96741430477276,0.0,-360.175,1501981436851.3,0.685400988509633,-189.24636363636364,0,2등급,1
2024-03-28,2차전지,6등급,52.59590909090909,1130851192061.0,102.09939138606568,0.0,46.112272727272725,1403125728872.3,0.8059514331405436,137.85863636363635,0,6등급,0
2024-03-29,2차전지,6등급,50.33772727272727,1081851889766.0,100.71872683788413,0.0,-153.53181818181818,1348687656148.2,0.8021515469754705,46.112272727272725,0,6등급,0
2024-04-01,2차전지,6등급,50.303636363636365,893931904483.0,100.93704574898787,0.0,-280.06545454545454,1328190195906.45,0.6730451009487525,-153.53181818181818,0,6등급,0
2024-04-02,2차전지,6등급,47.61909090909091,1200868683898.0,98.88365492458259,0.0,-411.40590909090906,1305905145042.85,0.9195680777095004,-280.06545454545454,0,6등급,0
2024-04-03,2차전지,6등급,44.832727272727276,2467208244240.0,98.10837530418777,0.0,-550.1086363636364,1296467450868.75,1.9030236683433497,-411.40590909090906,0,6등급,0
2024-04-04,2차전지,6등급,45.285,1586542156845.0,98.73241480294783,0.0,-498.78909090909093,1370024953137.3,1.1580388760160059,-550.1086363636364,1,6등급,0
2024-04-29,2차전지,6등급,47.46727272727273,732437884883.0,100.8836977025727,0.0,35.803636363636365,1061849536860.25,0.6897755844474189,-239.65227272727273,1,6등급,0
2024-04-30,2차전지,6등급,47.38590909090909,933815150598.0,100.65429752614259,0.0,224.8531818181818,1044378836616.1,0.8941345016370321,35.803636363636365,1,6등급,0
