date,theme_name,total_cnt,phase1_cnt,phase2_cnt,phase3_cnt,phase4_cnt,avg_trade_value,lag_avg_trade_value,phase1_increase,phase3_increase,trade_value_spike,global_rank,grade,future_grade_d1,future_grade_d2
2025-10-27,금,9,3,5,1,0,12376458257.333334,6650753609.222222,0.0,0.0,1.8609106553235715,209,6등급,6등급,6등급
2025-10-28,금,9,3,4,1,1,7952700647.777778,12376458257.333334,0.0,0.0,0.6425667571791487,144,6등급,6등급,4등급
2025-10-29,금,9,2,5,1,1,13347375819.555555,7952700647.777778,-1.0,0.0,1.6783450566928118,167,6등급,4등급,2등급
2025-10-30,금,9,1,6,2,0,10717548022.0,13347375819.555555,-1.0,1.0,0.8029704240662399,84,4등급,2등급,1등급
2025-11-04,금,9,3,2,2,2,6319710094.777778,7128889343.333333,0.0,-1.0,0.8864929430680153,52,3등급,3등급,1등급
2025-11-05,금,9,2,4,1,2,6538446870.333333,6319710094.777778,-1.0,-1.0,1.0346118369790895,55,3등급,1등급,2등급
2025-11-10,금,9,5,1,3,0,7460692403.666667,6355023207.333333,2.0,1.0,1.1739835025397631,54,3등급,6등급,1등급
2025-11-11,금,9,4,2,1,2,7290693239.444445,7460692403.666667,-1.0,-2.0,0.9772140231731477,152,6등급,1등급,2등급
2025-11-14,금,9,0,4,3,2,7165977978.0,13192265990.444445,-4.0,-2.0,0.5431953830517466,182,6등급,6등급,6등급
2025-11-17,금,9,0,4,3,2,5107182471.444445,7165977978.0,0.0,0.0,0.712698599845522,201,6등급,6등급,5등급
2025-11-18,금,9,0,6,1,2,3821659573.7777777,5107182471.444445,0.0,-2.0,0.7482911752508644,171,6등급,5등급,5등급
2025-11-21,금,9,0,5,1,3,4299940578.0,4190644813.888889,-4.0,-1.0,1.0260808942215471,220,6등급,3등급,4등급
2025-11-24,금,9,3,3,1,2,6416427103.222222,4299940578.0,3.0,0.0,1.4922129705817118,61,3등급,4등급,4등급
2025-11-25,금,9,4,1,1,3,5289384700.333333,6416427103.222222,1.0,0.0,0.8243504703228207,80,4등급,4등급,6등급
2025-11-26,금,9,5,0,3,1,3484185080.7777777,5289384700.333333,1.0,2.0,0.6587127384699787,79,4등급,6등급,6등급
2025-11-27,금,9,3,1,3,2,16443920416.222221,3484185080.7777777,-2.0,0.0,4.719588665637541,165,6등급,6등급,4등급
