sector_name,stock_code,roe,pbr,start_price,max_price,stock_name
복합유틸리티,071320,0.0568870561,0.17,24850.0,59100.0,
건강관리장비와용품,188260,-0.5082402255,0.0,4200.0,4715.0,
건강관리장비와용품,048870,28.1559478796,1.64,2775.0,3425.0,
디스플레이패널,052330,0.1172990777,0.3,6800.0,8290.0,
디스플레이패널,034220,0.0988591222,0.48,12340.0,13190.0,
항공화물운송과물류,009180,0.7890276471,0.66,2450.0,3175.0,
항공화물운송과물류,032280,0.3068976071,0.5,1953.0,2965.0,
무역회사와판매업체,011810,2.7089013696,7.54,12420.0,12420.0,
무역회사와판매업체,011760,0.1245414544,0.51,18500.0,23250.0,
