sector_name,stock_code,buy_roe,buy_pbr,buy_price,end_roe,end_pbr,end_price,stock_name
복합유틸리티,071320,0.0568870561,0.17,24850.0,0.0568870561,0.22,40250.0,
건강관리장비와용품,149980,,2.25,8365.0,,1.47,6430.0,
건강관리장비와용품,188260,-0.5082402255,0.0,4200.0,-0.5082402255,1.28,2680.0,
디스플레이패널,052330,0.1172990777,0.3,6800.0,0.1172990777,0.34,7930.0,
디스플레이패널,034220,0.0988591222,0.48,12340.0,0.0988591222,0.48,9060.0,
항공화물운송과물류,004365,,0.0,6980.0,,0.0,7630.0,
항공화물운송과물류,009180,0.7890276471,0.66,2450.0,0.7890276471,0.49,2075.0,
무역회사와판매업체,011810,,7.54,12420.0,,1.59,4450.0,
무역회사와판매업체,38380K,,0.0,9650.0,,0.0,8000.0,
