sector,price_pbr_corr
도로와철도운송,0.9973415804562891
담배,0.9971695627706525
카드,0.9962008624779554
복합기업,0.992043015940164
복합유틸리티,0.9895832405367969
문구류,0.9790295376969713
증권,0.9780830440199012
제약,0.9741242644636358
사무용전자제품,0.9735279732046438
에너지장비및서비스,0.9708902385370594
생명과학도구및서비스,0.9670216731410308
전기제품,0.9558458088454819
자동차부품,0.945450309954275
전기유틸리티,0.9161414356913943
조선,0.912719943239321
기계,0.9078614237098064
은행,0.9064863957327218
광고,0.8921809896221611
건설,0.8885405064589957
우주항공과국방,0.8884821728400325
IT서비스,0.8794836040090654
디스플레이장비및부품,0.8564078585142646
다각화된통신서비스,0.8549042000121073
가정용품,0.8502626479043373
창업투자,0.837407581581107
출판,0.8300209985484903
다각화된소비자서비스,0.8139538062621856
전자장비와기기,0.8067458089874595
기타금융,0.8024786044968026
반도체와반도체장비,0.7965482950081537
화학,0.792171881585416
철강,0.7676315676154842
석유와가스,0.7534164011780022
건축제품,0.7520968069218428
건강관리장비와용품,0.7520732432296997
레저용장비와제품,0.7503144296575308
판매업체,0.7396806536793772
비철금속,0.729730673388373
전문소매,0.7288480182225251
통신장비,0.7043640469400547
전자제품,0.6993544188272387
전기장비,0.6889963031662629
생물공학,0.6786511563308263
항공화물운송과물류,0.6767616190680147
화장품,0.6730614846177738
게임엔터테인먼트,0.6688393167121394
소프트웨어,0.6680268622350761
"섬유,의류,신발,호화품",0.6266386014381261
포장재,0.6191469016947468
운송인프라,0.6178256571876357
생명보험,0.6138611491668526
식품과기본식료품소매,0.5942688165440384
상업서비스와공급품,0.5553390830202469
가스유틸리티,0.5496621905677606
식품,0.5342818409678427
컴퓨터와주변기기,0.5090412258450058
핸드셋,0.4702378456280163
교육서비스,0.4701214996117854
음료,0.4648287459977597
가정용기기와용품,0.4609011484547615
인터넷과카탈로그소매,0.4341491327874952
디스플레이패널,0.39346791722025554
건강관리업체및서비스,0.3902428668947463
자동차,0.34109757700056786
가구,0.29398808747735794
양방향미디어와서비스,0.1779014334463013
무역회사와판매업체,0.1738633062176913
방송과엔터테인먼트,0.09573910759873909
손해보험,0.07942389376447341
건강관리기술,0.016522985203736944
종이와목재,-0.021878926260969093
해운사,-0.02267584914994562
백화점과일반상점,-0.04752226882028399
항공사,-0.20493045588534373
무선통신서비스,-0.28876235027433594
부동산,-0.4805198776355856
건축자재,-0.504001630187794
"호텔,레스토랑,레저",-0.7424679728047984
