sector_name,stock_code,buy_roe,buy_pbr,buy_price,peak_date,peak_price,peak_roe,peak_pbr,stock_name
복합유틸리티,071320,0.0568870561,0.17,24850.0,2024-11-29,59100.0,0.0568870561,0.33,
건강관리장비와용품,149980,,2.25,8365.0,2024-06-26,10510.0,,2.4,
건강관리장비와용품,188260,-0.5082402255,0.0,4200.0,2024-08-20,4715.0,-0.5082402255,2.25,
디스플레이패널,052330,0.1172990777,0.3,6800.0,2024-11-05,8290.0,0.1172990777,0.36,
디스플레이패널,034220,0.0988591222,0.48,12340.0,2024-07-12,13190.0,0.0988591222,0.71,
항공화물운송과물류,004365,,0.0,6980.0,2024-08-29,8050.0,,0.0,
항공화물운송과물류,009180,0.7890276471,0.66,2450.0,2024-06-25,3175.0,0.7890276471,0.75,
무역회사와판매업체,011810,,7.54,12420.0,2024-01-02,12420.0,,7.54,
무역회사와판매업체,38380K,,0.0,9650.0,2024-01-03,9680.0,,0.0,
