base_year,sector,roe,pbr,efficiency,return_6m,return_12m
2024,복합유틸리티,0.0568870561,0.17,0.33462974176470583,86.31790744466801,61.9718309859155
2024,디스플레이패널,0.0701994931,0.48,0.14624894395833332,-3.8008276212591356,-19.09046666864414
2024,담배,0.1319190587,1.11,0.11884599882882882,-1.4557670772676334,19.93281075027995
2024,레저용장비와제품,0.07386444065,0.755,0.09783369622516556,-11.77073595712824,-28.41341659597754
2024,은행,0.03749857425,0.385,0.09739889415584416,22.794127670481572,21.85612295398854
2025,창업투자,0.0044927563,0.0,inf,10.317619592958167,7.476979445306645
2025,복합유틸리티,0.0568870561,0.22,0.2585775277272727,102.2360248447205,135.0310559006211
2025,레저용장비와제품,0.07386444065,0.495,0.14922109222222224,36.25459456822646,14.84599837658804
2025,디스플레이패널,0.0701994931,0.48,0.14624894395833332,14.266674510011903,30.409602694472515
2025,건축제품,0.051026903900000004,0.505,0.10104337405940594,3.42885757437374,-0.9067617310486451
