sector,max_pbr_date,max_pbr,peak_price,current_price,performance_pct
출판,2024-02-20,6.11625,13440.625,5774.875,-57.03417809811672
도로와철도운송,2025-12-17,7.901428571428571,90147.85714285714,46096.42857142857,-48.865752295831456
문구류,2024-05-10,0.61,3095.0,1665.0,-46.20355411954766
전문소매,2024-04-30,8.771666666666667,5117.5,3385.3333333333335,-33.84790750692069
복합유틸리티,2026-01-20,0.57,110700.0,74100.0,-33.06233062330624
광고,2024-01-10,1.855,8671.857142857143,5829.666666666667,-32.774876584902444
레저용장비와제품,2024-03-18,1.289,5343.454545454545,3846.909090909091,-28.007077477967947
가정용기기와용품,2024-02-23,3.6794736842105262,23899.157894736843,17544.35,-26.590091260647817
사무용전자제품,2026-02-05,0.52,64500.0,49850.0,-22.713178294573645
항공화물운송과물류,2026-02-25,0.62,40968.416666666664,31947.666666666668,-22.018790897866435
카드,2026-02-20,0.85,67400.0,53100.0,-21.216617210682497
소프트웨어,2024-01-09,15.685882352941176,10433.5,8245.847222222223,-20.967583052453897
전기제품,2024-01-08,3.9018032786885244,48693.03278688525,38587.0,-20.754576596443098
가정용품,2024-03-26,3.0125,8846.875,7111.375,-19.617096432356064
가구,2025-08-22,2.679090909090909,17632.272727272728,14217.272727272726,-19.36789461473023
포장재,2025-07-14,0.9974074074074074,13831.777777777777,11243.444444444443,-18.712947640698562
조선,2025-10-27,4.2716666666666665,77071.83333333333,63487.032258064515,-17.626155351092997
은행,2026-02-20,0.998,59877.0,49378.181818181816,-17.53397495168125
기계,2026-01-29,7.185257731958763,33287.59793814433,27767.76288659794,-16.58225703700057
생명과학도구및서비스,2026-03-06,12.116857142857143,17792.702702702703,14852.189189189188,-16.526514058299036
제약,2026-02-27,5.403765432098766,49262.73333333333,41264.017857142855,-16.23684869872657
건강관리장비와용품,2026-02-04,6.41632183908046,21259.137931034482,17866.325842696628,-15.959311705602907
식품과기본식료품소매,2025-07-03,1.5771428571428572,11214.285714285714,9433.285714285714,-15.881528662420386
판매업체,2024-03-26,2.8983333333333334,4893.0,4157.833333333333,-15.024865454050007
창업투자,2024-01-11,0.8516666666666667,3338.233333333333,2854.8229166666665,-14.481025392672775
다각화된소비자서비스,2025-10-21,0.55,7530.0,6510.0,-13.545816733067728
핸드셋,2024-05-16,2.715357142857143,9480.357142857143,8238.431034482759,-13.099992855333486
증권,2026-02-20,0.7910526315789473,57257.78947368421,49891.02631578947,-12.86595802179984
게임엔터테인먼트,2024-07-15,2.4334375,31330.727272727272,27351.636363636364,-12.70028261538193
운송인프라,2025-12-22,1.47,22060.25,19322.125,-12.41203068868213
비철금속,2026-01-29,1.3956410256410257,63275.275,55846.6,-11.740249252176305
종이와목재,2025-07-15,0.7792857142857142,3938.285714285714,3483.714285714286,-11.542367962855483
양방향미디어와서비스,2024-05-14,4.868125,26609.875,23739.25,-10.787818432067041
전기유틸리티,2026-02-27,4.516,67980.0,60742.0,-10.647249190938513
디스플레이장비및부품,2026-02-26,1.93231884057971,9785.101449275362,8764.391304347826,-10.431267884331696
전기장비,2026-02-26,5.193225806451613,193095.06451612903,173514.4193548387,-10.14041721385105
복합기업,2026-02-27,1.2830434782608695,216661.52173913043,194703.26086956522,-10.134822599466409
건축제품,2024-02-13,0.7407692307692307,5541.538461538462,4980.846153846154,-10.117990005552468
가스유틸리티,2026-03-09,0.5275,60662.5,54863.333333333336,-9.559722508414037
교육서비스,2024-12-16,1.6595454545454544,8333.40909090909,7675.04347826087,-7.9003155307283635
담배,2026-02-25,2.1,179700.0,165600.0,-7.846410684474126
해운사,2024-01-15,2.1363636363636362,6451.272727272727,5982.0,-7.274110816752155
인터넷과카탈로그소매,2024-06-21,4.491428571428571,20650.714285714286,19323.875,-6.4251495970391925
자동차부품,2026-01-30,1.90682119205298,12842.026315789473,12165.414473684212,-5.268731160232532
기타금융,2025-07-22,1.356,4207.8,3999.8,-4.9432007224678
건강관리기술,2024-08-22,16.144,14916.5,14208.333333333332,-4.747539078648932
상업서비스와공급품,2024-01-09,2.1975862068965517,13871.275862068966,13265.9,-4.36424066602531
에너지장비및서비스,2026-03-20,3.3825925925925926,31716.11111111111,30482.296296296296,-3.8901831642990103
음료,2024-07-12,0.9493333333333334,20811.6,20098.266666666666,-3.42757564691486
철강,2024-02-21,0.8568518518518519,28561.98148148148,27675.48148148148,-3.1037762578719263
식품,2026-01-29,2.5217241379310344,47647.98863636363,46797.96590909091,-1.7839635031813406
화학,2024-03-18,2.451896551724138,51453.86324786325,50870.17647058824,-1.1343886356273813
"호텔,레스토랑,레저",2024-05-02,3.232105263157895,16010.789473684212,15831.666666666668,-1.118763114785537
전자제품,2024-02-14,0.871875,14675.6875,14515.125,-1.094071402106378
반도체와반도체장비,2026-03-25,4.475185185185185,44378.10429447853,44092.63190184049,-0.6432730671498188
통신장비,2026-04-13,4.227755102040816,17368.28,17368.28,0.0
컴퓨터와주변기기,2026-04-13,1.2913636363636365,4368.318181818182,4368.318181818182,0.0
생물공학,2025-12-16,35.335,39251.981132075474,39289.0,0.09431082675792624
화장품,2026-02-24,3.4128813559322033,31317.177419354837,31395.09677419355,0.24880708052110734
방송과엔터테인먼트,2024-11-13,3.0792592592592594,12857.222222222223,13660.381818181819,6.246758297227117
우주항공과국방,2026-03-13,7.909375,112776.40625,120185.0,6.569276319708939
다각화된통신서비스,2025-12-17,1.665,34220.0,37050.0,8.270017533606078
항공사,2024-01-19,3.0444444444444443,21621.666666666668,23547.777777777777,8.90824533004444
건설,2026-02-25,1.1347368421052633,14343.894736842105,15841.026315789473,10.437413313568221
석유와가스,2026-02-02,1.6572222222222222,60252.31578947369,67679.8947368421,12.327458040485894
건강관리업체및서비스,2024-01-03,10.685384615384615,10330.5,11842.296296296296,14.634299368823346
디스플레이패널,2024-05-31,1.118,5108.4,5895.4,15.405997964137509
IT서비스,2025-09-24,3.08,13619.548076923076,15736.398148148148,15.542733571401367
부동산,2025-04-15,1.3185714285714285,3392.28125,3959.030303030303,16.707018412176254
"섬유,의류,신발,호화품",2024-01-11,0.9898648648648649,15459.302631578947,18795.35802469136,21.579598204499884
무역회사와판매업체,2024-01-02,1.6,19705.714285714286,24869.285714285714,26.203421777584456
건축자재,2025-01-17,0.7028571428571428,19224.408163265307,24807.18367346939,29.040038386574896
백화점과일반상점,2024-01-02,0.7307692307692307,49604.07142857143,65135.71428571428,31.311225893035854
손해보험,2024-04-26,1.3463636363636364,65637.90909090909,95572.91666666667,45.60627843019394
전자장비와기기,2024-03-12,2.7627,18121.326732673268,26465.40740740741,46.04563891941491
자동차,2024-03-15,0.8145454545454546,73697.5,112878.0,53.16394721666271
무선통신서비스,2024-10-16,2.3875,17481.75,28353.75,62.19057016603029
생명보험,2025-06-24,2.302,29664.0,53550.0,80.52184466019416
