stock_code,stock_name,corp_cls,per,pbr,eps,bps,div
004450,삼화왕관,일반기업,6.2,0.45,4443.0,61866.0,4.36
170030,현대공업,일반기업,6.21,0.52,857.0,10222.0,3.76
192400,쿠쿠홀딩스,일반기업,6.26,0.72,4418.0,38498.0,4.34
130580,나이스디앤비,일반기업,6.26,0.85,887.0,6553.0,3.69
013310,아진산업,일반기업,6.27,0.35,480.0,8548.0,3.32
004650,창해에탄올,일반기업,6.28,0.59,1650.0,17539.0,5.79
094970,제이엠티,일반기업,6.29,0.41,533.0,8208.0,0.89
108670,LX하우시스,대기업,6.3,0.32,4435.0,87164.0,3.58
092780,동양피스톤,일반기업,6.31,0.39,672.0,10894.0,1.89
025770,한국정보통신,일반기업,6.32,0.89,1222.0,8644.0,0.0
011090,에넥스,일반기업,6.32,0.57,65.0,718.0,0.0
336680,탑런토탈솔루션,일반기업,6.34,0.79,580.0,4637.0,2.72
264900,크라운제과,일반기업,6.37,0.5,1312.0,16823.0,3.35
000240,한국앤컴퍼니,대기업,6.37,0.5,3703.0,47012.0,4.24
048430,유라테크,일반기업,6.37,0.59,1166.0,12681.0,4.04
004140,동방,일반기업,6.39,0.84,429.0,3280.0,0.73
054670,대한뉴팜,일반기업,6.39,0.79,1102.0,8937.0,1.42
049960,쎌바이오텍,일반기업,6.4,0.78,2210.0,18143.0,3.18
008420,문배철강,일반기업,6.43,0.22,346.0,10009.0,2.25
045100,한양이엔지,일반기업,6.45,0.81,4527.0,36261.0,2.23
007700,F&F 홀딩스,일반기업,6.48,0.31,2738.0,56520.0,2.54
003490,대한항공,대기업,6.49,0.82,3566.0,28356.0,3.24
415380,스튜디오삼익,일반기업,6.58,0.66,314.0,3138.0,12.11
092300,현우산업,일반기업,6.6,0.52,456.0,5827.0,1.66
190650,코리아에셋투자증권,일반기업,6.61,0.52,1210.0,15266.0,6.88
134060,이퓨쳐,일반기업,6.62,0.67,618.0,6103.0,6.11
051160,지어소프트,일반기업,6.64,0.81,1193.0,9794.0,0.0
005810,풍산홀딩스,일반기업,6.64,0.6,7117.0,78924.0,2.96
001630,종근당홀딩스,일반기업,6.65,0.38,7057.0,123410.0,2.99
009070,케이씨티시,대기업,6.66,0.58,860.0,9858.0,1.31
054410,케이피티유,일반기업,6.66,0.4,552.0,9211.0,0.0
025880,케이씨피드,일반기업,6.69,0.64,433.0,4512.0,3.45
010470,오리콤,대기업,6.7,0.53,846.0,10668.0,4.76
263020,디케이앤디,일반기업,6.7,0.61,463.0,5097.0,1.61
016580,환인제약,일반기업,6.71,0.42,1531.0,24628.0,2.92
208140,정다운,일반기업,6.73,0.6,364.0,4076.0,10.2
035600,KG이니시스,대기업,6.73,0.58,1549.0,18056.0,4.8
023000,삼원강재,대기업,6.79,0.36,333.0,6304.0,4.87
234100,폴라리스세원,일반기업,6.8,0.36,147.0,2791.0,0.0
053620,태양,일반기업,6.8,0.31,1038.0,23123.0,2.83
037350,성도이엔지,일반기업,6.87,0.44,1333.0,20638.0,2.18
010690,화신,대기업,6.89,0.71,1542.0,14891.0,1.41
089470,HDC현대EP,대기업,6.9,0.38,709.0,12861.0,2.86
001770,SHD,일반기업,6.9,0.38,2410.0,44133.0,0.6
153490,우리이앤엘,일반기업,6.94,0.43,109.0,1776.0,0.0
024110,기업은행,일반기업,6.95,0.51,3106.0,42570.0,4.93
123570,이엠넷,일반기업,7.0,0.42,269.0,4446.0,3.19
130500,GH신소재,일반기업,7.0,0.42,355.0,5920.0,0.0
136540,윈스테크넷,일반기업,7.02,0.7,1613.0,16063.0,7.07
453340,현대그린푸드,일반기업,7.03,0.77,2190.0,20095.0,2.18
210540,디와이파워,일반기업,7.03,0.53,1987.0,26589.0,2.51
006200,한국전자홀딩스,일반기업,7.04,0.24,112.0,3345.0,2.53
058860,KTis,대기업,7.05,0.4,387.0,6796.0,4.4
014830,유니드,대기업,7.07,0.53,11483.0,152473.0,2.22
009970,영원무역홀딩스,대기업,7.07,0.87,28777.0,233944.0,2.63
009680,모토닉,일반기업,7.07,0.49,1496.0,21647.0,5.67
039420,케이엘넷,일반기업,7.08,1.0,394.0,2804.0,3.58
214320,이노션,대기업,7.09,0.71,2506.0,25050.0,6.61
099390,브레인즈컴퍼니,일반기업,7.1,0.67,605.0,6433.0,1.4
049430,코메론,일반기업,7.11,0.83,3032.0,26081.0,1.39
057540,옴니시스템,일반기업,7.12,0.44,113.0,1847.0,0.0
017390,서울도시가스,일반기업,7.12,0.22,8702.0,278337.0,4.03
298540,더네이쳐홀딩스,일반기업,7.12,0.34,1118.0,23498.0,6.28
221980,케이디켐,일반기업,7.17,0.38,1424.0,26942.0,4.9
016800,퍼시스,일반기업,7.19,0.6,5333.0,64143.0,3.13
466410,사이냅소프트,일반기업,7.25,0.83,1523.0,13262.0,0.0
084010,대한제강,일반기업,7.28,0.34,1436.0,30399.0,4.78
105630,한세실업,일반기업,7.33,0.6,1474.0,18020.0,4.63
080520,오디텍,일반기업,7.33,0.31,521.0,12174.0,2.62
208860,엔지스테크널러지,일반기업,7.33,0.73,171.0,1709.0,0.0
035250,강원랜드,일반기업,7.36,0.86,2257.0,19379.0,7.04
083930,아바코,일반기업,7.37,0.93,1776.0,14086.0,3.82
035510,신세계I&C,대기업,7.37,0.61,2575.0,31082.0,2.27
002030,아세아,일반기업,7.38,0.4,37523.0,689472.0,1.92
015760,한국전력공사,일반기업,7.4,0.65,5439.0,62177.0,0.53
009580,무림P&P,일반기업,7.41,0.26,361.0,10215.0,3.74
111710,남화산업,일반기업,7.42,0.44,531.0,9049.0,5.08
001680,대상,일반기업,7.43,0.5,2642.0,39464.0,4.33
053450,세코닉스,일반기업,7.44,0.54,675.0,9371.0,1.0
005670,푸드웰,대기업,7.45,0.55,774.0,10586.0,2.17
237880,클리오,일반기업,7.48,0.87,1550.0,13391.0,3.45
073560,우리손에프앤지,일반기업,7.5,0.36,218.0,4553.0,4.28
007590,동방아그로,일반기업,7.52,0.44,787.0,13342.0,5.07
033050,제이엠아이,일반기업,7.53,0.5,118.0,1762.0,0.0
029460,케이씨,일반기업,7.55,0.43,3902.0,68150.0,1.09
293480,하나제약,일반기업,7.55,0.52,1228.0,17872.0,5.5
032940,원익,대기업,7.56,0.59,1162.0,14920.0,0.0
091700,파트론,일반기업,7.57,0.78,1030.0,10003.0,3.85
241790,티이엠씨씨엔에스,일반기업,7.59,0.65,975.0,11433.0,2.03
067570,엔브이에이치코리아,일반기업,7.61,0.39,280.0,5505.0,7.04
368970,오에스피,일반기업,7.67,0.5,251.0,3856.0,0.0
203450,유니온커뮤니티,일반기업,7.68,0.9,398.0,3409.0,2.29
023350,한국종합기술,일반기업,7.72,0.31,599.0,15058.0,2.16
052790,액토즈소프트,일반기업,7.75,0.24,681.0,21893.0,0.0
064960,SNT모티브,일반기업,7.77,0.73,4299.0,45531.0,2.81
084730,팅크웨어,일반기업,7.78,0.47,1043.0,17321.0,0.0
187220,디티앤씨,일반기업,7.81,0.39,390.0,7822.0,0.0
003690,코리안리,일반기업,7.83,0.62,1556.0,19539.0,4.23
008370,원풍,일반기업,7.83,0.59,645.0,8545.0,4.95
005820,원림,일반기업,7.84,0.26,1961.0,60002.0,2.6
