rank,industry,stock_count,avg_roe,avg_pbr_discount,undervalued_count,undervalue_density,z_fundamental,z_value,z_density,z_volume_surge,total_z_score
1,전문소매,6,-3.0066666666666673,0.7380955357833883,4,66.66666666666666,0.2912807252966327,1.2196421413856326,2.0625390982251535,0.0,1.278292499294741
2,광고,18,0.33111111111111113,0.7703797033941996,12,66.66666666666666,0.2912854452660913,1.120210367875204,2.0625390982251535,0.0,1.2484643832324498
3,판매업체,12,-5.2941666666666665,0.7838329599891777,8,66.66666666666666,0.291277490530613,1.0787757805302425,2.0625390982251535,0.0,1.2360316206083182
4,가구,11,-22.072727272727274,0.7590930233910135,7,63.63636363636363,0.2912537638780636,1.1549721316998245,1.8955910482011211,0.0,1.1921041879538148
5,가정용품,8,0.1612499999999999,0.7364139944472287,5,62.5,0.291285205064583,1.2248211083424718,1.8329855294421087,0.0,1.1880261057989598
6,방송과엔터테인먼트,55,-9.699454545454547,0.7290609154568801,33,60.0,0.2912712609893947,1.2474678029571964,1.6952533881722818,0.0,1.1397230744528901
7,교육서비스,23,3.417826086956522,0.8762161039334351,13,56.52173913043478,0.2912898102062951,0.7942456060006506,1.5036260611881744,0.0,0.9271110493373536
8,건축제품,13,-5.9023076923076925,0.8992411540141355,7,53.84615384615385,0.29127663055512676,0.7233309213697915,1.3562204250465537,0.0,0.846870435596097
9,게임엔터테인먼트,32,-9.7853125,0.822411960193251,16,50.0,0.29127113957720063,0.959956597802867,1.1443248230929735,0.0,0.8330982504512097
10,인터넷과카탈로그소매,8,5.67,0.8546670833512287,4,50.0,0.29129299501750566,0.86061427809192,1.1443248230929735,0.0,0.8033021111700172
11,음료,15,-2.6820000000000004,0.8846304000920936,7,46.666666666666664,0.29128118440950745,0.7683304763314184,0.9606819680665373,0.0,0.7021562854488927
12,전자제품,16,-10.020624999999999,1.002627186221373,8,50.0,0.2912708068205322,0.404913031136518,1.1443248230929735,0.0,0.6665850806243045
13,부동산,7,267.09714285714284,0.8638520383731114,3,42.857142857142854,0.29166268054245537,0.8323256017831809,0.750804419464896,0.0,0.6375182524836492
14,소프트웨어,72,-6.422777777777778,0.9226474398654061,31,43.05555555555556,0.2912758945555872,0.6512420714561107,0.7617355417878984,0.0,0.5874496065186687
15,가정용기기와용품,20,-1.5179999999999998,0.8549052160063852,8,40.0,0.29128283042815084,0.8598808550556377,0.5933962580136652,0.0,0.5827076088506027
16,"섬유,의류,신발,호화품",79,-1.3367088607594937,0.938674721687101,33,41.77215189873418,0.29128308679292325,0.60187976249731,0.6910291682808846,0.0,0.5443605220994238
17,핸드셋,58,-6.872413793103449,1.0946822640741198,27,46.55172413793103,0.2912752587228862,0.12139326498111022,0.9543494558242464,0.0,0.5055403394408975
18,상업서비스와공급품,30,2.6416666666666666,0.9250067048405434,11,36.666666666666664,0.2912887126350957,0.6439757883824105,0.409753402987229,0.0,0.44448071150014345
19,해운사,11,-0.9454545454545447,0.9212848297831023,4,36.36363636363637,0.2912836400677491,0.655438764358959,0.393058597984826,0.0,0.4412401605219428
20,자동차부품,151,2.4373509933774837,1.024991206735415,60,39.735099337748345,0.29128842371120617,0.336034246670347,0.5788021238393789,0.0,0.41971765065021754
21,종이와목재,14,-6.150714285714286,0.9291967982021383,5,35.714285714285715,0.29127627928203065,0.6310707502491636,0.35728401583681885,0.0,0.4196177151940858
22,자동차,11,3.0645454545454545,0.9744490546014248,4,36.36363636363637,0.29128931063025787,0.4916986541997393,0.393058597984826,0.0,0.3921198286429296
23,건축자재,49,-0.3477551020408164,1.036044872806609,18,36.734693877551024,0.291284485277738,0.3019901407636856,0.4135012163551158,0.0,0.3433828743544734
24,포장재,27,1.6688888888888889,0.9611248216199024,9,33.33333333333333,0.29128733702482235,0.5327358626540547,0.22611054796079277,0.0,0.3376511790879802
25,화장품,59,3.821525423728813,0.9764565710061952,20,33.89830508474576,0.2912903810796926,0.48551571899496876,0.2572364555923921,0.0,0.3359364122593552
26,비철금속,39,-5.113846153846154,1.0332402566132324,14,35.8974358974359,0.29127774552281743,0.3106280578221422,0.3673742825965131,0.0,0.3275214540420931
27,식품과기본식료품소매,7,-18.1,0.9136640877809228,2,28.57142857142857,0.2912593817330088,0.6789098323411601,-0.03623638779125865,0.0,0.2765562091057472
28,레저용장비와제품,10,3.857,0.9789843201950138,3,30.0,0.2912904312444811,0.4777305226143871,0.04246769293435693,0.0,0.2476933633314032
29,디스플레이장비및부품,69,-4.665652173913044,1.1361410348149812,25,36.231884057971016,0.29127837931632844,-0.006295302121534644,0.38579998711421576,0.0,0.23981491800412447
30,출판,8,4.9037500000000005,0.8818612641771159,2,25.0,0.29129191145927064,0.7768591179379455,-0.2329965896052972,0.0,0.22724667297704593
31,항공사,9,-56.93,0.8218864425098922,2,22.22222222222222,0.29120447202173355,0.9615751359017078,-0.3860323021273273,0.0,0.22142096152610144
32,건강관리장비와용품,89,-405627.8716853932,0.8676735037671701,28,31.46067415730337,-0.28231557200534413,0.820555898251697,0.12294040468751426,0.0,0.21064825974891158
33,건강관리업체및서비스,27,-25.58962962962963,1.12802294317499,9,33.33333333333333,0.2912487906075769,0.01870754940046644,0.22611054796079277,0.0,0.1834311211867301
34,화학,117,3.557179487179487,1.0383410621935678,33,28.205128205128204,0.2912900072666858,0.29491812373622206,-0.056416921310647156,0.0,0.1532956707766135
35,식품,87,2.052068965517242,1.050563558383453,24,27.586206896551722,0.291287878881824,0.2572741464302141,-0.09051506415375206,0.0,0.12836258193211061
36,항공화물운송과물류,12,4.3725,1.0195288109895015,3,25.0,0.29129116021579615,0.35285783968285844,-0.2329965896052972,0.0,0.10004606412747748
37,컴퓨터와주변기기,22,-2.6704545454545454,1.2959019938836283,8,36.36363636363637,0.29128120073599667,-0.49834192043369197,0.393058597984826,0.0,0.09510522328462183
38,철강,54,-1.9985185185185186,1.0575957460303196,14,25.925925925925924,0.2912821509243364,0.23561576273529358,-0.1819846854312873,0.0,0.08527549992537407
39,건강관리기술,12,-11.416666666666666,0.8981110292116147,2,16.666666666666664,0.29126883267052334,0.7268115845467829,-0.6921037271713876,0.0,0.028582634296636808
40,양방향미디어와서비스,16,-7.796875,0.9659088576708569,3,18.75,0.2912739514373349,0.5180015447426047,-0.5773269427798648,0.0,0.011851871742035933
41,제약,165,-437582.05636363645,1.0914396091999645,51,30.909090909090907,-0.3275021559537855,0.131380294193272,0.09255210794156664,0.0,-0.021815715351527404
42,기타금융,5,2.8,1.046116743090088,1,20.0,0.2912889365351116,0.2709698605778668,-0.5084608721449514,0.0,-0.03470670972408704
43,IT서비스,108,-11.68824074074074,1.1210757703085772,21,19.444444444444446,0.2912684486361685,0.0401040966900929,-0.5390680146493573,0.0,-0.11621544226186452
44,생명과학도구및서비스,35,-1031447.7428571428,1.1655834071992848,14,40.0,-1.1672908085839577,-0.09697465113920645,0.5933962580136652,0.0,-0.1419211347114831
45,디스플레이패널,5,-0.04800000000000004,1.1712907719632035,1,20.0,0.29128490916303557,-0.1145527224523206,-0.5084608721449514,0.0,-0.15036469284476606
46,운송인프라,6,9.743333333333334,1.0942051725978859,1,16.666666666666664,0.29129875514002074,0.12286265555609806,-0.6921037271713876,0.0,-0.1525930676597194
47,전자장비와기기,108,-334268.61592592596,1.2553134526584946,32,29.629629629629626,-0.18140606568115594,-0.37333356690052905,0.022062931264752735,0.0,-0.15759671726860439
48,가스유틸리티,12,6.835833333333333,1.1111610275530877,2,16.666666666666664,0.2912946436286756,0.07064044094286717,-0.6921037271713876,0.0,-0.16826096549709219
49,손해보험,12,11.49,1.176238885278923,2,16.666666666666664,0.29130122511072276,-0.12979238074066965,-0.6921037271713876,0.0,-0.22838883755753908
50,전기제품,69,-1046382.2230434783,1.1359963732736147,22,31.88405797101449,-1.1884097371205904,-0.005849760090213812,0.14626582838408145,0.0,-0.2997715178096087
51,"호텔,레스토랑,레저",21,-1719042.0180952381,0.9034050799040731,7,33.33333333333333,-2.1396215612965643,0.7105064762425818,0.22611054796079277,0.0,-0.3382903063318776
52,기계,97,-372170.8030927835,1.2955992349666263,19,19.587628865979383,-0.2350037518524716,-0.4974094554426009,-0.5311795758595619,0.0,-0.4321957925323465
