date,wics_name,stock_code,stock_name,total_score,industry_rank,2024-02-01,2024-05-01,2024-08-01,2024-11-01,2025-02-01,3개월,6개월,9개월,12개월
2024-02-01,가구,003800,에이스침대,77.08,1,26250.0,26300.0,26000.0,27400.0,24650.0,0.19047619047619047,-0.9523809523809524,4.380952380952381,-6.095238095238095
2024-02-01,가구,016800,퍼시스,69.7,2,30550.0,38300.0,43700.0,42250.0,41650.0,25.368248772504092,43.04418985270049,38.297872340425535,36.33387888707038
2024-02-01,가구,011090,에넥스,39.91,3,515.0,483.0,653.0,524.0,509.0,-6.213592233009709,26.796116504854368,1.7475728155339807,-1.1650485436893203
2024-02-01,건설,004960,한신공영,86.48,1,7720.0,6660.0,7280.0,6730.0,6030.0,-13.730569948186528,-5.699481865284974,-12.823834196891193,-21.89119170984456
2024-02-01,건설,010960,삼호개발,81.59,2,3410.0,3335.0,3600.0,3140.0,3005.0,-2.1994134897360706,5.571847507331378,-7.9178885630498534,-11.87683284457478
2024-02-01,건설,002460,HS화성,78.31,3,10840.0,9990.0,9350.0,8840.0,9430.0,-7.841328413284134,-13.745387453874539,-18.45018450184502,-13.007380073800737
2024-02-01,광고,214320,이노션,76.51,1,22100.0,22800.0,20200.0,20200.0,18100.0,3.167420814479638,-8.597285067873303,-8.597285067873303,-18.099547511312217
2024-02-01,광고,030000,제일기획,68.99,2,18420.0,18970.0,17800.0,18480.0,17100.0,2.985884907709012,-3.3659066232356136,0.32573289902280134,-7.166123778501629
2024-02-01,광고,050090,비케이홀딩스,61.63,3,1106.0,1032.0,993.0,782.0,707.0,-6.6907775768535265,-10.216998191681736,-29.294755877034355,-36.075949367088604
2024-02-01,기계,000850,화천기공,82.66,1,32300.0,30950.0,30000.0,27200.0,26150.0,-4.179566563467492,-7.120743034055728,-15.789473684210526,-19.040247678018577
2024-02-01,기계,015230,대창단조,76.26,2,5820.0,6860.0,5420.0,5020.0,5020.0,17.869415807560138,-6.872852233676976,-13.745704467353953,-13.745704467353953
2024-02-01,기계,044780,에이치케이,75.08,3,1775.0,1499.0,1468.0,1291.0,1134.0,-15.549295774647886,-17.295774647887324,-27.267605633802816,-36.112676056338024
2024-02-01,식품,005990,매일홀딩스,83.37,1,8180.0,8000.0,8290.0,8240.0,8640.0,-2.2004889975550124,1.3447432762836184,0.7334963325183375,5.623471882640587
2024-02-01,식품,003380,하림지주,80.52,2,7890.0,6530.0,5910.0,5400.0,5330.0,-17.23700887198986,-25.09505703422053,-31.55893536121673,-32.44613434727503
2024-02-01,식품,001800,오리온홀딩스,75.52,3,15120.0,14780.0,15010.0,16860.0,14920.0,-2.2486772486772484,-0.7275132275132274,11.507936507936508,-1.3227513227513228
2024-02-01,은행,105560,KB금융,91.75,1,61300.0,72300.0,88300.0,91800.0,88800.0,17.94453507340946,44.04567699836868,49.7553017944535,44.86133768352366
2024-02-01,은행,006220,제주은행,51.66,2,13230.0,13790.0,10140.0,8340.0,7980.0,4.232804232804233,-23.356009070294785,-36.961451247165535,-39.682539682539684
2024-02-01,음료,033920,무학,87.63,1,5220.0,5180.0,6320.0,5820.0,6110.0,-0.7662835249042145,21.0727969348659,11.494252873563218,17.049808429118773
2024-02-01,음료,000140,하이트진로홀딩스,68.62,2,8830.0,9120.0,9120.0,9750.0,8850.0,3.2842582106455263,3.2842582106455263,10.419026047565119,0.22650056625141565
2024-02-01,음료,004650,창해에탄올,60.29,3,9280.0,9130.0,9440.0,9370.0,8890.0,-1.6163793103448276,1.7241379310344827,0.9698275862068966,-4.202586206896552
2024-02-01,제약,003120,일성아이에스,84.56,1,23850.0,19780.0,17590.0,15630.0,15660.0,-17.064989517819708,-26.247379454926623,-34.465408805031444,-34.33962264150943
2024-02-01,제약,009300,삼아제약,78.1,2,16350.0,16010.0,34200.0,21050.0,15900.0,-2.079510703363914,109.1743119266055,28.74617737003058,-2.7522935779816518
2024-02-01,제약,003090,대웅,76.82,3,25700.0,19030.0,21800.0,25150.0,20100.0,-25.953307392996113,-15.17509727626459,-2.140077821011673,-21.78988326848249
