phase,Avg Return (%),Median Return (%),Sample Count,Win Rate (%)
1,2.8525593899579307,2.620853566635007,362,57.4585635359116
2,12.997208884226522,10.126920117276917,82,76.82926829268293
3,4.387119713713746,2.2836711874188427,258,57.751937984496124
4,8.74340041644753,6.137254901960784,52,67.3076923076923
