wics_name,stock_code,stock_name,total_score,industry_rank,3개월,6개월,9개월,12개월
가구,003800,에이스침대,80.78,1,17.62376237623762,6.138613861386139,21.584158415841586,35.04950495049505
가구,134790,시디즈,77.73,2,23.134328358208954,-9.888059701492537,-19.58955223880597,-28.171641791044777
가구,011090,에넥스,60.61,3,21.217712177121772,6.4575645756457565,1.4760147601476015,-22.509225092250922
건설,004960,한신공영,80.76,1,40.80944350758853,30.185497470489036,70.65767284991568,169.47723440134908
건설,010400,우진아이엔에스,80.64,2,5.653021442495127,17.93372319688109,62.96296296296296,46.978557504873294
건설,002460,HS화성,76.26,3,19.810326659641728,6.8493150684931505,22.233930453108535,26.55426765015806
광고,214320,이노션,80.75,1,14.229024943310659,3.231292517006803,3.741496598639456,3.061224489795918
광고,030000,제일기획,63.35,2,11.602209944751381,11.32596685082873,15.193370165745856,6.574585635359116
광고,363260,모비데이즈,54.85,3,-23.464912280701753,-13.684210526315791,-28.07017543859649,-35.13157894736842
기계,049430,코메론,82.02,1,4.9695740365111565,9.533468559837727,31.845841784989858,134.7870182555781
기계,049800,우진플라임,78.69,2,-4.648910411622276,5.084745762711865,-7.990314769975787,28.087167070217916
기계,050860,아세아텍,72.19,3,22.925311203319502,2.8526970954356847,-1.504149377593361,5.549792531120332
식품,088910,동우팜투테이블,83.53,1,13.563829787234042,14.893617021276595,10.638297872340425,29.25531914893617
식품,003380,하림지주,80.29,2,83.30404217926186,27.06502636203866,92.79437609841827,152.89982425307556
식품,006980,우성,79.37,3,19.930795847750865,17.439446366782008,11.626297577854672,45.32871972318339
은행,006220,제주은행,72.39,1,100.132802124834,86.85258964143426,52.722443559096945,66.53386454183267
은행,105560,KB금융,50.11,2,39.19597989949749,46.10552763819096,54.89949748743719,86.30653266331659
음료,033920,무학,68.08,1,22.76176024279211,22.15477996965099,38.54324734446131,30.955993930197266
음료,000890,보해양조,66.72,2,8.590308370044053,-1.9823788546255507,-5.506607929515418,-6.828193832599119
음료,000140,하이트진로홀딩스,65.94,3,31.40495867768595,16.528925619834713,14.403778040141676,6.257378984651712
제약,053950,경남제약,84.37,1,-0.30959752321981426,-8.6687306501548,6.96594427244582,22.291021671826623
제약,002620,제일파마홀딩스,80.75,2,9.159347553324968,10.037641154328734,2.258469259723965,7.779171894604768
제약,016580,환인제약,73.31,3,10.564010743061774,-4.834377797672337,-2.775290957923008,-5.729632945389436
조선,103230,에스앤더블류,75.59,1,4.961240310077519,38.759689922480625,29.457364341085274,15.968992248062017
조선,054180,메디콕스,73.17,2,-36.666666666666664,-43.333333333333336,-43.333333333333336,-43.333333333333336
조선,267250,HD현대,63.0,3,76.35135135135135,111.75675675675676,148.91891891891893,233.78378378378378
증권,030210,다올투자증권,74.37,1,22.62295081967213,16.065573770491802,13.77049180327869,33.77049180327869
증권,001200,유진투자증권,73.51,2,55.3941908713693,50.4149377593361,43.77593360995851,97.71784232365145
증권,023590,다우기술,63.96,3,88.43843843843844,77.67767767767768,98.1981981981982,131.4814814814815
철강,012620,원일특강,77.82,1,11.174785100286533,17.908309455587393,16.189111747851005,32.664756446991404
철강,069730,DSR제강,73.33,2,7.547169811320755,11.175616835994195,9.288824383164005,41.79970972423803
철강,001230,동국홀딩스,71.24,3,20.425531914893615,5.673758865248227,2.8368794326241136,43.262411347517734
출판,127710,아시아경제,66.41,1,-14.908802537668517,-14.670896114195084,-14.274385408406026,33.94131641554322
출판,068290,삼성출판사,54.4,2,23.14876584389593,0.9339559706470981,-24.549699799866577,-39.426284189459636
출판,016880,웅진,48.17,3,231.79723502304145,408.0645161290323,161.52073732718895,208.17972350230414
화학,003080,SB성보,85.36,1,13.319672131147541,16.188524590163937,12.5,8.19672131147541
