stock_code,stock_name,corp_cls,per,pbr,eps,bps,div
363280,티와이홀딩스,대기업,0.0,0.1,0.0,25637.0,0.0
109960,AP헬스케어,일반기업,0.0,0.11,0.0,1503.0,0.0
002070,비비안,일반기업,0.0,0.13,0.0,2922.0,0.0
002820,SUN&L,일반기업,0.0,0.13,0.0,18466.0,0.0
003060,에이프로젠바이오로직스,일반기업,0.0,0.13,0.0,1916.0,0.0
143210,핸즈코퍼레이션,일반기업,0.0,0.15,0.0,7762.0,0.0
043090,더테크놀로지,일반기업,0.0,0.15,0.0,2490.0,0.0
084180,수성웹툰,일반기업,0.0,0.15,0.0,7164.0,0.0
145210,다이나믹디자인,일반기업,0.0,0.16,0.0,1374.0,0.0
002920,유성기업,일반기업,0.0,0.17,0.0,11235.0,2.14
000180,성창기업지주,일반기업,0.0,0.17,0.0,8292.0,0.0
313760,캐리,일반기업,0.0,0.18,0.0,2581.0,0.0
104480,티케이케미칼,대기업,0.0,0.18,0.0,12191.0,0.0
016250,SGC E&C,대기업,0.0,0.18,0.0,83334.0,3.27
008600,윌비스,일반기업,0.0,0.19,0.0,13440.0,0.0
012160,영흥,일반기업,0.0,0.19,0.0,2729.0,0.0
089140,넥스턴바이오,일반기업,0.0,0.19,0.0,11232.0,0.0
008250,이건산업,일반기업,0.0,0.19,0.0,19779.0,2.66
071840,롯데하이마트,대기업,0.0,0.19,0.0,40094.0,3.93
002320,한진,대기업,0.0,0.19,0.0,96238.0,3.22
003830,대한화섬,대기업,0.0,0.19,0.0,638754.0,0.63
115160,휴맥스,일반기업,0.0,0.19,0.0,3632.0,0.0
023530,롯데쇼핑,대기업,0.0,0.19,0.0,548412.0,3.63
002690,동일제강,일반기업,0.0,0.2,0.0,8099.0,0.0
006840,AK홀딩스,일반기업,0.0,0.2,0.0,40295.0,4.94
054180,메디콕스,일반기업,0.0,0.2,0.0,11415.0,0.0
001520,동양,대기업,0.0,0.2,0.0,3699.0,0.0
123840,뉴온,일반기업,0.0,0.2,0.0,2846.0,0.0
065060,지엔코,일반기업,0.0,0.21,0.0,2747.0,0.0
061040,알에프텍,일반기업,0.0,0.22,0.0,7214.0,0.0
097780,에코볼트,일반기업,0.0,0.22,0.0,3516.0,0.0
065130,탑엔지니어링,일반기업,0.0,0.23,0.0,13002.0,0.0
110790,크리스에프앤씨,일반기업,0.0,0.23,0.0,17178.0,5.13
139480,이마트,대기업,0.0,0.23,0.0,387877.0,2.2
096690,에이루트,일반기업,0.0,0.24,0.0,4764.0,0.0
004020,현대제철,대기업,0.0,0.24,0.0,143815.0,2.2
004870,티웨이홀딩스,일반기업,0.0,0.24,0.0,1325.0,0.0
106080,케이이엠텍,일반기업,0.0,0.24,0.0,1382.0,0.0
014100,메디앙스,일반기업,0.0,0.25,0.0,6521.0,0.0
038540,상상인,일반기업,0.0,0.25,0.0,8614.0,0.0
308100,형지글로벌,일반기업,0.0,0.25,0.0,3822.0,0.0
031860,디에이치엑스컴퍼니,일반기업,0.0,0.25,0.0,2803.0,0.0
011170,롯데케미칼,대기업,0.0,0.25,0.0,340367.0,2.39
032080,아즈텍WB,일반기업,0.0,0.26,0.0,5062.0,0.0
214330,금호에이치티,일반기업,0.0,0.26,0.0,1497.0,0.0
137940,넥스트아이,일반기업,0.0,0.26,0.0,1051.0,0.0
079950,인베니아,일반기업,0.0,0.27,0.0,3561.0,0.0
035620,바른손이앤에이,일반기업,0.0,0.27,0.0,913.0,0.0
079970,투비소프트,일반기업,0.0,0.27,0.0,2204.0,0.0
037330,인지디스플레,일반기업,0.0,0.28,0.0,4858.0,1.85
006370,대구백화점,일반기업,0.0,0.28,0.0,19938.0,0.0
006740,영풍제지,일반기업,0.0,0.28,0.0,1973.0,0.0
276040,스코넥,일반기업,0.0,0.28,0.0,1225.0,0.0
043100,알파녹스,일반기업,0.0,0.28,0.0,1842.0,0.0
038950,파인디지털,일반기업,0.0,0.29,0.0,11356.0,1.51
088910,동우팜투테이블,일반기업,0.0,0.29,0.0,8211.0,0.0
060230,소니드,일반기업,0.0,0.29,0.0,2323.0,0.0
031310,아이즈비전,일반기업,0.0,0.29,0.0,5935.0,0.0
009310,참엔지니어링,일반기업,0.0,0.29,0.0,3665.0,0.0
035080,그래디언트,일반기업,0.0,0.3,0.0,38830.0,1.71
213500,한솔제지,대기업,0.0,0.3,0.0,28891.0,5.71
