sector,quarter,avg_per,avg_pbr,avg_vol
방산,2023-12-31 15:00:00+00:00,34.56285714285714,2.2807824143070046,1087130.3863150391
방산,2024-03-31 15:00:00+00:00,33.668797619047616,2.4220161883738043,1512373.7442028986
방산,2024-06-30 15:00:00+00:00,31.772684331797237,2.700672494956288,1522469.244115669
방산,2024-09-30 15:00:00+00:00,32.01385416666667,2.943503184713376,1166743.4790494058
방산,2024-12-31 15:00:00+00:00,44.160195402298854,3.6165261813537675,961298.3540640394
방산,2025-03-31 15:00:00+00:00,36.3740146878825,3.5535129993658847,1403708.1708333334
방산,2025-06-30 15:00:00+00:00,32.633747346072184,3.884929805615551,998912.7926565874
방산,2025-09-30 15:00:00+00:00,44.15349344978166,3.91152063312606,921212.1946006749
방산,2025-12-31 15:00:00+00:00,92.00034957627119,6.691148168398032,2107813.907838983
방산,2026-03-31 15:00:00+00:00,88.49875,7.6172258064516125,1417339.7125
조선,2023-12-31 15:00:00+00:00,25.505686274509802,1.6602394106813996,677805.1516267649
조선,2024-03-31 15:00:00+00:00,43.11073970037453,2.247590579710145,816502.9136473429
조선,2024-06-30 15:00:00+00:00,57.81453149001536,2.3952361751152074,717492.2638248848
조선,2024-09-30 15:00:00+00:00,64.39195160031225,2.498507025761124,861857.7154566745
조선,2024-12-31 15:00:00+00:00,87.6201724137931,3.026650246305419,1710625.3417487685
조선,2025-03-31 15:00:00+00:00,56.10087719298246,2.7395238095238095,1409058.2708333333
조선,2025-06-30 15:00:00+00:00,45.01162030598053,3.2216851558372954,1656246.6312731116
조선,2025-09-30 15:00:00+00:00,52.15372807017544,3.639056709713644,1156607.5614823133
조선,2025-12-31 15:00:00+00:00,52.71401836158192,3.6305686167304536,646510.2607982504
조선,2026-03-31 15:00:00+00:00,50.1485,3.4455483870967742,507412.5290322581
원자력,2023-12-31 15:00:00+00:00,56.16584699453552,2.746229508196721,1019597.0721311475
원자력,2024-03-31 15:00:00+00:00,68.17682170542636,2.8113,2547273.506666667
원자력,2024-06-30 15:00:00+00:00,72.70751612903226,2.991290322580645,2581816.687096774
원자력,2024-09-30 15:00:00+00:00,76.36367213114754,3.1818032786885246,2537299.3836065573
원자력,2024-12-31 15:00:00+00:00,91.79593103448276,3.764172413793103,3027412.255172414
원자력,2025-03-31 15:00:00+00:00,98.18542510121458,4.382842105263158,2963913.7066666665
원자력,2025-06-30 15:00:00+00:00,132.112,5.553907692307693,2015928.7846153846
원자력,2025-09-30 15:00:00+00:00,156.03737288135594,6.071322033898305,1911631.2067796611
원자력,2025-12-31 15:00:00+00:00,203.9725,9.099898305084746,2671366.4644067795
원자력,2026-03-31 15:00:00+00:00,213.8735,10.174,1001527.4
