stock_code,stock_name,corp_cls,current_per,current_pbr,current_bps,current_div,avg_per_3yr,avg_pbr_3yr,min_pbr_3yr
109960,AP헬스케어,일반기업,0.0,0.12,1503.0,0.0,7.472235772357724,0.20385674931129477,0.1
002070,비비안,일반기업,0.0,0.12,2922.0,0.0,,0.31139118457300274,0.12
003060,에이프로젠바이오로직스,일반기업,0.0,0.13,1916.0,0.0,16.718650793650795,0.3111570247933884,0.12
143210,핸즈코퍼레이션,일반기업,0.0,0.15,7762.0,0.0,,0.23891184573002755,0.13
145210,다이나믹디자인,일반기업,0.0,0.16,1374.0,0.0,,1.1642699724517906,0.16
084180,수성웹툰,일반기업,0.0,0.16,7164.0,0.0,,0.8711019283746556,0.15
313760,캐리,일반기업,0.0,0.18,2581.0,0.0,,1.7281404958677686,0.18
008600,윌비스,일반기업,0.0,0.19,13440.0,0.0,,0.3238154269972452,0.18
123840,뉴온,일반기업,0.0,0.2,2846.0,0.0,,0.6100413223140496,0.18
065060,지엔코,일반기업,0.0,0.21,2747.0,0.0,,0.6662947658402204,0.19
006840,AK홀딩스,일반기업,0.0,0.21,40295.0,4.69,4.632845188284519,0.3174517906336088,0.19
008250,이건산업,일반기업,0.0,0.21,19779.0,2.38,13.248730158730158,0.29836088154269974,0.18
110790,크리스에프앤씨,일반기업,0.0,0.23,17178.0,5.06,6.354704684317719,0.4072451790633609,0.22
004870,티웨이홀딩스,일반기업,0.0,0.23,1325.0,0.0,8.015103305785123,0.39829201101928374,0.23
106080,케이이엠텍,일반기업,0.0,0.24,6910.0,0.0,123.41281632653062,4.442314049586777,0.21
065130,탑엔지니어링,일반기업,0.0,0.26,13002.0,0.0,5.280753138075314,0.3970798898071625,0.22
069920,엑시온그룹,일반기업,0.0,0.27,1299.0,0.0,3.862857142857143,1.153457300275482,0.27
308100,형지글로벌,일반기업,0.0,0.27,3822.0,0.0,,0.5038705234159779,0.24
214330,금호에이치티,일반기업,0.0,0.27,1497.0,0.0,,0.38895316804407715,0.25
035620,바른손이앤에이,일반기업,0.0,0.27,913.0,0.0,6.9557142857142855,0.5106887052341598,0.26
276040,스코넥,일반기업,0.0,0.27,1225.0,0.0,,2.732127955493741,0.27
043100,알파녹스,일반기업,0.0,0.28,1842.0,0.0,,1.0776170798898073,0.27
009310,참엔지니어링,일반기업,0.0,0.29,3665.0,0.0,,0.4114187327823691,0.25
028080,휴맥스홀딩스,일반기업,0.0,0.3,4943.0,0.0,,0.45633608815426996,0.25
032800,판타지오,일반기업,0.0,0.32,1069.0,0.0,,1.1700826446280992,0.29
119650,KC코트렐,일반기업,0.0,0.35,2632.0,0.0,5.3028571428571425,0.800564738292011,0.35
005360,모나미,일반기업,0.0,0.36,4845.0,1.7,18.57107142857143,0.4849586776859504,0.34
042040,케이피엠테크,일반기업,0.0,0.37,393.0,0.0,10.151589958158995,0.5859090909090909,0.34
200230,텔콘RF제약,일반기업,0.0,0.38,1859.0,0.0,4.7006694560669455,0.8313636363636364,0.32
002210,동성제약,일반기업,0.0,0.4,2413.0,0.0,,2.0834159779614323,0.4
205470,휴마시스,일반기업,0.0,0.4,2026.0,0.0,1.541031746031746,0.7269559228650138,0.34
043220,티에스넥스젠,일반기업,0.0,0.41,4150.0,0.0,,1.020564738292011,0.38
348030,모비릭스,일반기업,0.0,0.43,6075.0,0.0,14.62888888888889,0.8003443526170799,0.38
007720,소노스퀘어,일반기업,0.0,0.43,1000.0,0.0,,0.6593801652892562,0.38
064800,포니링크,일반기업,0.0,0.43,1573.0,0.0,3.432857142857143,0.7566528925619834,0.38
095720,웅진씽크빅,일반기업,0.0,0.44,2611.0,7.81,91.41654761904762,0.6826308539944903,0.38
239610,에이치엘사이언스,일반기업,0.0,0.45,18564.0,0.0,49.29714285714286,0.6513085399449036,0.38
299900,위지윅스튜디오,일반기업,0.0,0.45,989.0,0.0,5.097322175732217,1.6811157024793388,0.41
214610,미코바이오메드,일반기업,0.0,0.46,5030.0,0.0,,2.1146005509641874,0.45
056730,CNT85,일반기업,0.0,0.48,1021.0,0.0,19.31504132231405,1.300413223140496,0.43
009810,플레이그램,일반기업,0.0,0.48,2420.0,0.0,45.82734693877551,0.8725619834710744,0.42
015020,이스타코,일반기업,0.0,0.48,963.0,0.0,19.767142857142858,0.7654820936639118,0.43
032680,소프트센,일반기업,0.0,0.49,504.0,0.0,5.678174603174603,0.816129476584022,0.44
206400,베노티앤알,일반기업,0.0,0.49,2538.0,0.0,14.545714285714286,1.1996143250688704,0.45
009730,이렘,일반기업,0.0,0.51,933.0,0.0,242.85646694214876,2.004710743801653,0.51
238200,비피도,일반기업,0.0,0.51,5707.0,0.0,30.57327902240326,0.7248898071625345,0.44
093240,형지엘리트,일반기업,0.0,0.51,2049.0,0.0,12.799860031104199,0.6957988980716253,0.43
