,전략 수익률,시장 수익률(벤치),초과 수익(Alpha)
3개월,-0.13761279139805654,5.400580017760206,-5.538192809158263
6개월,-0.9746306650927452,3.8960255393774417,-4.870656204470187
9개월,-6.3246001917871135,-2.0928122949201664,-4.231787896866948
12개월,-9.358424078277546,-6.648997657734493,-2.7094264205430525
